mfr_id,mfr_name,mfr_region,dhis2_id,dhis2_name,dhis2_region,linktransformer_score,text_a,text_b,match_type
1087896,meka primary clinic,amhara,XEDJFeFliO1,mewosha primary clinic,amhara,0.9170787930488586,meka primary clinic region:amhara zone:South Gondar Zone,mewosha primary clinic region:amhara zone:Central Gondar ZHD,confirmed
1087896,meka primary clinic,amhara,UO3IMKqpMEO,mekagno phcu,amhara,0.8004916906356812,meka primary clinic region:amhara zone:South Gondar Zone,mekagno phcu region:amhara zone:North Shewa ZHD,confirmed
1087896,meka primary clinic,amhara,fA3HgPbouLK,meka phcu,amhara,0.8613905310630798,meka primary clinic region:amhara zone:South Gondar Zone,meka phcu region:amhara zone:West Gondar ZHD,confirmed
1087901,kidist mariam primery clinic,tigray,jJ6oG3Ejt4U,kidste mariam clinic,tigray,0.8694009184837341,kidist mariam primery clinic region:tigray zone:North West Zone,kidste mariam clinic region:tigray zone:Eastern ZHD,confirmed
1087901,kidist mariam primery clinic,tigray,xJEpIqbLE7Z,kidstemariam clinic,tigray,0.8041045069694519,kidist mariam primery clinic region:tigray zone:North West Zone,kidstemariam clinic region:tigray zone:Eastern ZHD,confirmed
1087933,robsan medium clinic,oromia,MvVzbgOWYVS,robsan medium clinic,oromia,0.8109110593795776,robsan medium clinic woreda:Deksis region:oromia zone:Arsi zone,robsan medium clinic region:oromia zone:Ambo Town ZHD,confirmed
1087967,tekli weyane health post,tigray,zEUQ3jNLuaK,tekly weyane health post,tigray,0.8245506286621094,tekli weyane health post woreda:Hintalo Woreda region:tigray zone:South East Zone,tekly weyane health post region:tigray zone:Southern ZHD,confirmed
1087971,biftu bari primary clinic,oromia,RTpEBBwg7n7,biftuu primary clinic,oromia,0.8076433539390564,biftu bari primary clinic woreda:Saba Boru region:oromia zone:Guji Zone,biftuu primary clinic region:oromia zone:East Hararge ZHD,confirmed
1087971,biftu bari primary clinic,oromia,ONo5bd3EAbs,biftu primary clinic,oromia,0.802049458026886,biftu bari primary clinic woreda:Saba Boru region:oromia zone:Guji Zone,biftu primary clinic region:oromia zone:West Arsi ZHD,confirmed
1088023,gizachew primary clinic,amhara,d0cYSNVvRjZ,gizachewu primary clinic,amhara,0.8223108053207397,gizachew primary clinic woreda:Lay Gayint region:amhara zone:South Gondar Zone,gizachewu primary clinic region:amhara zone:West Gondar ZHD,confirmed
1088047,tokuma medium clinic,oromia,fu1DuUpz766,tokkumaa medium clinic,oromia,0.8035096526145935,tokuma medium clinic woreda:Batu Town region:oromia zone:Batu Town,tokkumaa medium clinic region:oromia zone:Arsi ZHD,confirmed
1088047,tokuma medium clinic,oromia,Qdb5UmujBJG,tokuma primary clinic,oromia,0.8150338530540466,tokuma medium clinic woreda:Batu Town region:oromia zone:Batu Town,tokuma primary clinic region:oromia zone:Arsi ZHD,confirmed
1088047,tokuma medium clinic,oromia,WwbCp52JHdD,tokkummaa medium clinic,oromia,0.8313503265380859,tokuma medium clinic woreda:Batu Town region:oromia zone:Batu Town,tokkummaa medium clinic region:oromia zone:Jimma ZHD,confirmed
1088054,gada primary clinic,oromia,fA7KSBsoHUt,gada primary clinic,oromia,0.8261034488677979,gada primary clinic woreda:Dugda Dawa region:oromia zone:West Guji Zone,gada primary clinic region:oromia zone:Borena ZHD,confirmed
