mfr_id,mfr_name,mfr_region,dhis2_id,dhis2_name,dhis2_region,linktransformer_score,match_source
1001393,Woliso Medium Clinic,Oromia Region,Pzb4IFU7fAk,Waliso Medium Clinic,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001401,wasehun primary Clinic,South Ethiopia Region,YjbpxajwuIT,Wasihun Clinic,SNNP Regional Health Bureau,1.0,existing_dhis2_id
1001403,Wazema Medium Clinic,Oromia Region,M84Zq7oZ1Zn,Wazema Medium Clinic,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001404,Wadessa Primary Clinic,Oromia Region,W0sQUkVzSgZ,Wedessa Primary Clinic,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001406,Wejago Yato Health Center,Central Ethiopia Region,WpejTddIS1r,Wejago Yato Health Center,SNNP Regional Health Bureau,1.0,existing_dhis2_id
1001440,East Wollega Zone Prison Primary Clinic,Oromia Region,AlxBaXaJtb4,Wollega Prision Primary Clinic,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001441,Wollega University Student Medium Clinic,Oromia Region,fyBzEaQq8PB,Wollega University Primary Clinic,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001449,Wonji Mazoria Midium Clinic,Oromia Region,nZ3wOCqHRVR,Wonji Mazoria Primary Clinic,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001471,Addis Rae Health center,Addis Ababa City Administration,uHq9c19j2JZ,Addis Raey Health center,Addis Ababa Regional Health Bureau,1.0,existing_dhis2_id
1001473,Kuas Meda Health Center,Addis Ababa City Administration,L1OG2ZaZGdb,Woreda 9(7)Kuas meda Hc,Addis Ababa Regional Health Bureau,1.0,existing_dhis2_id
1001478,Wosene Internal Medicine Specialty Clinic ,Addis Ababa City Administration,tKBdnM8GRWI,Wosene Internal Medicine Speciality Clinic,Addis Ababa Regional Health Bureau,1.0,existing_dhis2_id
1001481,Wudase Advanced Medical Laboratory ,Addis Ababa City Administration,zNv0tsxCkWY,Wudase Comprehensive Diagnostic Imaging Service (Old Kera),Addis Ababa Regional Health Bureau,1.0,existing_dhis2_id
1001484,Yabelo General Hospital,Oromia Region,bsh0Ju3GCAc,Yabalo General Hospital,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001494,Yem Dermatology Specialty Clinic,Harari Region,IlzFGnnR8Gd,Yam Dermatology Clinic,Harari Regional Health Bureau,1.0,existing_dhis2_id
1001497,Yanet Internal Medicine Specialty Center,Sidama Region,NJrAtKQtN2G,Yanet Specialized Center,Sidama Regional Health Bureau,1.0,existing_dhis2_id
1001514,Yehulushet Internal And Nurology Speciality Clinc,Addis Ababa City Administration,auGYqCH0mzF,Yehulueshet Internal Specality Clinic,Addis Ababa Regional Health Bureau,1.0,existing_dhis2_id
1001529,Rabdet Primary Clinic,Oromia Region,fs5TtuDC17o,Rabadete Primary Clinic,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001536,Yerosan Medium Clinic,Oromia Region,fLJvrqhI5W1,Yerosan Medium Clinic,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001541,Yehuleshet Medium Clinic,Oromia Region,kXBlQ7ed9e7,Yewulashet Medium Clinic,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001553,Yohannis Medium Clinic,Oromia Region,iWJJgxYlxKT,Yohannis Primary Clinic,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001559,Yesack Physiotherapy Specialty Clinic,Addis Ababa City Administration,ccZbCYsEmPF,Ysihak Physiotherapy Speciality Clinic,Addis Ababa Regional Health Bureau,1.0,existing_dhis2_id
1001561,Z Mass Medium Clinic,Oromia Region,ezheMiBAsgH,Z Mass Medium Clinic,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001562,Zada Medium Clinic,Oromia Region,czuykCzWX0d,Zada 2 Medium Clinic,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001568,Zantana Speciality Clinic,Addis Ababa City Administration,f5QB0mtlYPI,Zantana Dental Speciality Clinic,Addis Ababa Regional Health Bureau,1.0,existing_dhis2_id
1001578,Zenbaba General Hospital,Addis Ababa City Administration,UW5iTG8dmTL,Zenbaba General Hospital,Addis Ababa Regional Health Bureau,1.0,existing_dhis2_id
1001586,Ziquala Abo Medium Clinic,Oromia Region,aeSRyDGfSsx,Ziquala Abo Primary Clinic,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001590,Zowi Medium Clinic,Sidama Region,B6R6TCBzZfY,Zoe Clinic,Sidama Regional Health Bureau,1.0,existing_dhis2_id
1001593,Zuqualla Steel Production Factory Primary Clinic,Oromia Region,odJXeqNU389,Zuqualla Steel Production Factory Primary Clinic,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001595,22 Mazoria Internal Medicine Speciality Clinic,Addis Ababa City Administration,sfv3ey6H15C,22 Mazoriya Clinic,Addis Ababa Regional Health Bureau,1.0,existing_dhis2_id
1001604,Abadir Medium Clinic,Harari Region,JcZEfXDh6U6,Abadir Medium Clinic,Harari Regional Health Bureau,1.0,existing_dhis2_id
1001623,Abebe Bikila Health Center,Addis Ababa City Administration,LJO7sDhHNF0,Abebe Bikila Health center,Addis Ababa Regional Health Bureau,1.0,existing_dhis2_id
1001633,Abent Medium Clinic,Addis Ababa City Administration,XG68cWMGeXP,Abenet NO 1 Medium Clinic,Addis Ababa Regional Health Bureau,1.0,existing_dhis2_id
1001635,Abinet No 3 Speciality Clinic,Addis Ababa City Administration,gFqfnRWMuwk,Abenet No 3 internalSpecality Clinic,Addis Ababa Regional Health Bureau,1.0,existing_dhis2_id
1001654,Aboker Health Center,Harari Region,sflyRvLsOaA,Aboker Health Center,Harari Regional Health Bureau,1.0,existing_dhis2_id
1001656,Abomsa General Hospital,Oromia Region,Rx3Et6VT1b5,Abomsa General Hospital,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001684,Addis Ababa Foam And Plastic Organization Primary Clinic ,Addis Ababa City Administration,xYBd6Q2bT1I,Addis Ababa Foam and Plastic Primary Clinic,Addis Ababa Regional Health Bureau,1.0,existing_dhis2_id
1001686,Addis Ababa Kerawoch Dirjit Medium Clinic,Addis Ababa City Administration,LTGq5R8FqE1,Addis Ababa Kerawoch Dirjit Medium Clinic,Addis Ababa Regional Health Bureau,1.0,existing_dhis2_id
1001687,Addis Ababa Ketema Mengedoch Belesiltan,Addis Ababa City Administration,ZN0QIIDi836,Transport Construction Design Primary Clinic,Addis Ababa Regional Health Bureau,1.0,existing_dhis2_id
1001689,Addis Ababa Poly Internal Medicine Specialty Clinic,Addis Ababa City Administration,fxoayacD6eo,Addis Ababa Poly Internal Medicine Speciality Clinic,Addis Ababa Regional Health Bureau,1.0,existing_dhis2_id
1001690,Addis Ababa Science And Technolgy Faculty Campus Organization Medium Clinic ,Addis Ababa City Administration,GaoZhfkMlS5,Addis Ababa Science and Technolgy Faculty Campus Medium Clinic,Addis Ababa Regional Health Bureau,1.0,existing_dhis2_id
1001700,Addis Internal Medicine Specialty Clinic,Harari Region,vgnxsxxOJA0,Addis Internal Medicine  Specialty Clinic,Harari Regional Health Bureau,1.0,existing_dhis2_id
1001701,Addis Ketema Health Center ,Dire Dawa City Administration,wUddZYadTlv,Addis Ketema Health Center,Dire Dawa Regional Health Bureau,1.0,existing_dhis2_id
1001713,Doctor Bezuneh Dental Medium Clinic2,Harari Region,T8Z0NXvxjio,Addis Zaman Pediatric Specialty Clinic,Harari Regional Health Bureau,1.0,existing_dhis2_id
1001717,Ademeda Primary Clinic,Addis Ababa City Administration,mH6LAAsrdFE,Ademeda Primery Clinic,Addis Ababa Regional Health Bureau,1.0,existing_dhis2_id
1001732,Adola General Hospital,Oromia Region,sX0YYMbp6za,Adola General Hospital,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001741,Adot Speciality Clinic,Addis Ababa City Administration,YryjqwrXx3R,Adot Higher Clinic,Addis Ababa Regional Health Bureau,1.0,existing_dhis2_id
1001777,Corporation Of Government House Medium Clinic,Addis Ababa City Administration,QdV35vUOYQa,Agency Of Government House Medium Clinic,Addis Ababa Regional Health Bureau,1.0,existing_dhis2_id
