,,name_exact,name_levenshtein,name_jaro_winkler,name_cosine,region_exact,feature_sum,feature_mean
192,4195,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
192,4262,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
192,4289,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
192,4496,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
192,4529,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
192,5751,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
192,5752,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
193,3031,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
193,3071,1,1.0,1.0,1.0,1,5.0,1.6666666666666667
193,3202,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
193,4279,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
193,5386,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
193,5531,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
194,4768,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
194,4891,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
194,4895,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
194,4896,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
194,5933,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
195,8435,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
195,8438,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
195,8439,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
198,8716,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
199,8673,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
201,3395,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
201,3398,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
203,8459,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
205,3915,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
205,3916,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
206,3936,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
207,5032,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
207,5128,1,1.0,1.0,1.0,1,5.0,1.6666666666666667
208,2817,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
209,4752,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
209,4753,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
209,5043,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
209,5390,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
209,5681,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
209,5740,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
209,5741,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
210,3433,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
210,3882,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
210,5030,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
212,3644,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
212,5035,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
212,5221,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
213,7628,0,0.0,1.0,1.0,1,3.0,1.0
213,7741,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
214,2808,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
214,2929,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
214,3153,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
214,5186,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
214,5492,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
215,2836,0,1.0,1.0,0.0,1,3.0,1.0
215,2837,0,1.0,1.0,0.0,1,3.0,1.0
215,3481,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
215,4488,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
215,5245,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
215,5247,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
215,5248,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
216,4708,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
216,4709,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
216,5061,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
218,608,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
218,702,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
